epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.936983,1.71669,5.52214,1.17206,0,0,0,0,1.66982,5.4688,1.07389,1.35e-06,1.35e-06,1.35e-06
2,1.69956,1.93723,5.46781,1.41687,0,0,0,0,1.66902,5.46827,1.07483,4.04866e-06,4.04866e-06,4.04866e-06
3,2.45587,1.79012,5.52366,1.20559,0,0,0,0,1.67214,5.46849,1.07579,6.74554e-06,6.74554e-06,6.74554e-06
4,3.26184,1.64305,5.51352,1.18191,0,0,0,0,1.66423,5.46825,1.06902,9.44064e-06,9.44064e-06,9.44064e-06
5,4.09528,1.75689,5.4568,1.30962,0,0,0,0,1.6503,5.46518,1.06164,1.2134e-05,1.2134e-05,1.2134e-05
6,4.91294,1.83221,5.50875,1.30834,0,0,0,0,1.66304,5.46574,1.05784,1.48255e-05,1.48255e-05,1.48255e-05
7,5.72998,1.92586,5.51196,1.26235,0,0,0,0,1.67295,5.45642,1.05159,1.75153e-05,1.75153e-05,1.75153e-05
8,6.54634,1.78232,5.46584,1.20143,0,0,0,0,1.6722,5.44477,1.02855,2.02032e-05,2.02032e-05,2.02032e-05
9,7.34724,1.76299,5.43888,1.24167,0,0,0,0,1.66151,5.43843,1.02266,2.28894e-05,2.28894e-05,2.28894e-05
10,8.14378,1.72155,5.41689,1.1833,0,0,0,0,1.66518,5.43948,1.01855,2.55738e-05,2.55738e-05,2.55738e-05
11,8.95739,1.65452,5.46535,1.14892,0,0,0,0,1.66864,5.42896,1.01371,2.82564e-05,2.82564e-05,2.82564e-05
12,9.83105,1.57009,5.44173,1.10503,0,0,0,0,1.69357,5.42635,1.01681,3.09373e-05,3.09373e-05,3.09373e-05
13,10.6384,1.70404,5.42938,1.12254,0,0,0,0,1.71403,5.42637,1.01905,3.36164e-05,3.36164e-05,3.36164e-05
14,11.4321,1.56368,5.40417,1.07834,0,0,0,0,1.71382,5.42445,1.0193,3.62936e-05,3.62936e-05,3.62936e-05
15,12.223,1.60053,5.34174,1.08434,0,0,0,0,1.72774,5.41948,1.01857,3.89691e-05,3.89691e-05,3.89691e-05
16,13.0199,1.64561,5.33097,1.09835,0,0,0,0,1.7286,5.40801,1.02235,4.16428e-05,4.16428e-05,4.16428e-05
17,13.8278,1.7119,5.30595,1.18716,0,0,0,0,1.72117,5.39535,1.01637,4.43148e-05,4.43148e-05,4.43148e-05
18,14.6263,1.61717,5.2179,1.23407,0,0,0,0,1.72176,5.38496,1.01285,4.69849e-05,4.69849e-05,4.69849e-05
19,15.4295,1.52758,5.31129,0.99924,0,0,0,0,1.71671,5.38775,1.00831,4.96533e-05,4.96533e-05,4.96533e-05
20,16.2402,1.57693,5.2316,1.09275,0,0,0,0,1.70876,5.39411,1.0103,5.23199e-05,5.23199e-05,5.23199e-05
21,17.0463,1.45592,5.25019,1.04722,0,0,0,0,1.69705,5.39634,1.00985,5.49847e-05,5.49847e-05,5.49847e-05
22,17.8422,1.59681,5.24462,1.12014,0,0,0,0,1.68461,5.39996,1.00623,5.76477e-05,5.76477e-05,5.76477e-05
23,18.6461,1.53898,5.21492,1.03736,0,0,0,0,1.67397,5.39328,1.00248,6.0309e-05,6.0309e-05,6.0309e-05
24,19.4591,1.68481,5.19416,1.17369,0,0,0,0,1.67327,5.3987,1.00261,6.29684e-05,6.29684e-05,6.29684e-05
25,20.2499,1.53158,5.09221,1.13584,0,0,0,0,1.65652,5.38879,0.99839,6.56261e-05,6.56261e-05,6.56261e-05
26,21.0367,1.44025,5.05834,1.09656,0,0,0,0,1.6382,5.37822,0.99165,6.8282e-05,6.8282e-05,6.8282e-05
27,21.8297,1.38745,5.16541,0.9734,0,0,0,0,1.58952,5.35961,0.98121,7.09361e-05,7.09361e-05,7.09361e-05
28,22.6078,1.49335,5.10271,1.07879,0,0,0,0,1.58952,5.35961,0.98121,7.35884e-05,7.35884e-05,7.35884e-05
29,23.4132,1.4805,5.14588,1.0034,0,0,0,0,1.56243,5.34296,0.97788,7.6239e-05,7.6239e-05,7.6239e-05
30,24.2136,1.46167,5.11416,0.98757,0,0,0,0,1.54342,5.32985,0.9751,7.88877e-05,7.88877e-05,7.88877e-05
31,24.9942,1.44907,5.09085,0.96736,0,0,0,0,1.54342,5.32985,0.9751,8.15347e-05,8.15347e-05,8.15347e-05
32,25.7886,1.51599,5.09802,1.00656,0,0,0,0,1.54443,5.31765,0.97148,8.41799e-05,8.41799e-05,8.41799e-05
33,26.5792,1.36455,4.98813,1.03089,0,0,0,0,1.58417,5.2966,0.97415,8.68234e-05,8.68234e-05,8.68234e-05
34,27.4383,1.51173,5.03021,0.99087,0,0,0,0,1.58417,5.2966,0.97415,8.9465e-05,8.9465e-05,8.9465e-05
35,28.2301,1.26061,4.9303,0.93328,0,0,0,0,1.61833,5.27312,0.97259,9.21049e-05,9.21049e-05,9.21049e-05
36,29.038,1.44167,4.92532,1.0499,0,0,0,0,1.62138,5.25078,0.9647,9.47429e-05,9.47429e-05,9.47429e-05
37,29.8213,1.44139,4.98615,1.00055,0,0,0,0,1.62138,5.25078,0.9647,9.73792e-05,9.73792e-05,9.73792e-05
38,30.6235,1.50231,4.91768,1.08371,0,0,0,0,1.59578,5.22386,0.95622,0.000100014,0.000100014,0.000100014
39,31.4364,1.40877,4.91342,0.97371,0,0,0,0,1.57617,5.19949,0.95414,0.000102646,0.000102646,0.000102646
40,32.2363,1.50068,4.92266,1.00841,0,0,0,0,1.57617,5.19949,0.95414,0.000105277,0.000105277,0.000105277
41,33.0578,1.43805,4.82153,0.98881,0.01923,0.01923,0.01913,0.01722,1.56761,5.16621,0.95297,0.000107907,0.000107907,0.000107907
42,33.8575,1.44236,4.91721,0.97268,0.01923,0.01923,0.01913,0.01722,1.56776,5.13138,0.95263,0.000110534,0.000110534,0.000110534
43,34.6447,1.32855,4.77647,0.99068,0.01923,0.01923,0.01913,0.01722,1.56776,5.13138,0.95263,0.00011316,0.00011316,0.00011316
44,35.4438,1.37673,4.8386,0.98965,0.01923,0.01923,0.01913,0.01722,1.57017,5.08977,0.95263,0.000115783,0.000115783,0.000115783
45,36.2422,1.43822,4.72644,1.03073,0.01923,0.01923,0.01913,0.01722,1.57017,5.08977,0.95263,0.000118405,0.000118405,0.000118405
46,37.0627,1.47674,4.79161,1.0127,0.01923,0.01923,0.01913,0.01722,1.58588,5.04402,0.95809,0.000121026,0.000121026,0.000121026
47,37.8511,1.56095,4.754,1.02525,0.01923,0.01923,0.01913,0.01722,1.58588,5.04402,0.95809,0.000123644,0.000123644,0.000123644
48,38.6726,1.34197,4.74333,0.93794,0.0359,0.04808,0.0329,0.02349,1.61157,5.00278,0.96334,0.000126261,0.000126261,0.000126261
49,39.4778,1.44699,4.64078,1.00648,0.0359,0.04808,0.0329,0.02349,1.61157,5.00278,0.96334,0.000128876,0.000128876,0.000128876
50,40.29,1.47493,4.79756,0.96694,0.03211,0.05769,0.05148,0.04006,1.63846,4.95569,0.96386,0.000131489,0.000131489,0.000131489
51,41.0893,1.37546,4.61833,0.97508,0.03211,0.05769,0.05148,0.04006,1.63846,4.95569,0.96386,0.000132773,0.000132773,0.000132773
52,41.9117,1.47492,4.67689,1.00973,0.03226,0.06731,0.05156,0.04048,1.66529,4.89463,0.97145,0.000132728,0.000132728,0.000132728
53,42.711,1.41682,4.6119,0.971,0.03226,0.06731,0.05156,0.04048,1.66529,4.89463,0.97145,0.000132683,0.000132683,0.000132683
54,43.5415,1.37823,4.59826,0.9304,0.06041,0.10577,0.08068,0.06333,1.66632,4.82126,0.97085,0.000132639,0.000132639,0.000132639
55,44.351,1.52111,4.63976,1.00327,0.06041,0.10577,0.08068,0.06333,1.66632,4.82126,0.97085,0.000132594,0.000132594,0.000132594
56,45.3124,1.44772,4.56815,0.92643,0.06386,0.14183,0.09772,0.07275,1.68672,4.7458,0.97799,0.00013255,0.00013255,0.00013255
57,46.124,1.48857,4.49076,0.99774,0.06386,0.14183,0.09772,0.07275,1.68672,4.7458,0.97799,0.000132505,0.000132505,0.000132505
58,46.9557,1.47462,4.56368,0.94534,0.04883,0.15625,0.09817,0.07331,1.6913,4.68067,0.97353,0.000132461,0.000132461,0.000132461
59,47.7554,1.30358,4.35533,0.96466,0.04883,0.15625,0.09817,0.07331,1.6913,4.68067,0.97353,0.000132416,0.000132416,0.000132416
60,48.5772,1.36536,4.45262,0.93272,0.03504,0.15625,0.10079,0.07304,1.70895,4.611,0.97358,0.000132372,0.000132372,0.000132372
61,49.3669,1.39861,4.42246,0.98627,0.03504,0.15625,0.10079,0.07304,1.70895,4.611,0.97358,0.000132327,0.000132327,0.000132327
62,50.1808,1.36036,4.39684,0.93576,0.02957,0.16587,0.10276,0.07345,1.70692,4.5612,0.9674,0.000132282,0.000132282,0.000132282
63,50.9902,1.39054,4.38997,0.95519,0.02957,0.16587,0.10276,0.07345,1.70692,4.5612,0.9674,0.000132238,0.000132238,0.000132238
64,51.827,1.39582,4.3522,0.98956,0.03041,0.18942,0.10833,0.07622,1.74868,4.52408,0.96706,0.000132193,0.000132193,0.000132193
65,52.6443,1.4409,4.41304,1.06834,0.03041,0.18942,0.10833,0.07622,1.74868,4.52408,0.96706,0.000132149,0.000132149,0.000132149
66,53.4836,1.40965,4.2244,1.00523,0.02697,0.17981,0.10809,0.07433,1.76494,4.47192,0.97006,0.000132104,0.000132104,0.000132104
67,54.2821,1.41508,4.42159,1.00381,0.02697,0.17981,0.10809,0.07433,1.76494,4.47192,0.97006,0.00013206,0.00013206,0.00013206
