epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48858,1.71622,5.52151,1.17202,0,0,0,0,1.66873,5.4717,1.07343,1.35e-06,1.35e-06,1.35e-06
2,3.42766,1.93521,5.46966,1.41389,0,0,0,0,1.66843,5.46734,1.07354,4.04599e-06,4.04599e-06,4.04599e-06
3,4.3293,1.78326,5.52278,1.20084,0,0,0,0,1.66556,5.46859,1.07382,6.73664e-06,6.73664e-06,6.73664e-06
4,5.22826,1.63459,5.50961,1.17763,0,0,0,0,1.65587,5.46794,1.06734,9.42193e-06,9.42193e-06,9.42193e-06
5,6.08166,1.76139,5.46303,1.30925,0,0,0,0,1.65873,5.46663,1.06797,1.21019e-05,1.21019e-05,1.21019e-05
6,6.96309,1.84633,5.51429,1.31415,0,0,0,0,1.64404,5.46311,1.05744,1.47765e-05,1.47765e-05,1.47765e-05
7,7.85169,1.93572,5.51427,1.27201,0,0,0,0,1.67912,5.4654,1.06017,1.74458e-05,1.74458e-05,1.74458e-05
8,8.74727,1.79061,5.46722,1.21368,0,0,0,0,1.69056,5.45512,1.04667,2.01097e-05,2.01097e-05,2.01097e-05
9,9.62031,1.77251,5.43841,1.25068,0,0,0,0,1.67957,5.4437,1.03205,2.27682e-05,2.27682e-05,2.27682e-05
10,10.4294,1.73865,5.42216,1.201,0,0,0,0,1.69071,5.43873,1.02694,2.54215e-05,2.54215e-05,2.54215e-05
11,11.3725,1.66864,5.46457,1.16047,0,0,0,0,1.694,5.43049,1.02273,2.80693e-05,2.80693e-05,2.80693e-05
12,12.322,1.5918,5.44226,1.10947,0,0,0,0,1.71349,5.42879,1.02224,3.07119e-05,3.07119e-05,3.07119e-05
13,13.2328,1.7086,5.43539,1.12759,0,0,0,0,1.70877,5.42333,1.02061,3.3349e-05,3.3349e-05,3.3349e-05
14,14.0531,1.58638,5.40839,1.08733,0,0,0,0,1.72211,5.4173,1.01914,3.59809e-05,3.59809e-05,3.59809e-05
15,14.9026,1.61028,5.34745,1.08808,0,0,0,0,1.73497,5.39941,1.01823,3.86074e-05,3.86074e-05,3.86074e-05
16,15.8286,1.66911,5.34237,1.10541,0,0,0,0,1.75028,5.38705,1.02077,4.12285e-05,4.12285e-05,4.12285e-05
17,16.7022,1.70193,5.31065,1.17963,0,0,0,0,1.76568,5.3794,1.02097,4.38443e-05,4.38443e-05,4.38443e-05
18,17.5642,1.60701,5.22732,1.22479,0,0,0,0,1.77306,5.3766,1.01247,4.64548e-05,4.64548e-05,4.64548e-05
19,18.404,1.54721,5.31744,1.00678,0,0,0,0,1.76826,5.37869,1.01108,4.90599e-05,4.90599e-05,4.90599e-05
20,19.2708,1.59943,5.23494,1.10452,0,0,0,0,1.75563,5.38638,1.00969,5.16597e-05,5.16597e-05,5.16597e-05
21,20.1122,1.46927,5.2651,1.05285,0,0,0,0,1.75746,5.38994,1.00782,5.42541e-05,5.42541e-05,5.42541e-05
22,20.93,1.58792,5.25009,1.11698,0,0,0,0,1.74286,5.3823,1.00362,5.68431e-05,5.68431e-05,5.68431e-05
23,21.7507,1.53856,5.21489,1.04128,0,0,0,0,1.72642,5.3832,1.00011,5.94269e-05,5.94269e-05,5.94269e-05
24,22.6058,1.6712,5.19795,1.16401,0,0,0,0,1.7118,5.38821,0.99993,6.20052e-05,6.20052e-05,6.20052e-05
25,23.4631,1.52568,5.10759,1.12056,0,0,0,0,1.68578,5.39144,0.99833,6.45783e-05,6.45783e-05,6.45783e-05
26,24.3025,1.44714,5.07571,1.1027,0,0,0,0,1.65786,5.38367,0.99283,6.7146e-05,6.7146e-05,6.7146e-05
27,25.1357,1.39843,5.16684,0.97585,0,0,0,0,1.61639,5.3623,0.98466,6.97083e-05,6.97083e-05,6.97083e-05
28,25.9343,1.4951,5.10749,1.08113,0,0,0,0,1.61639,5.3623,0.98466,7.22653e-05,7.22653e-05,7.22653e-05
29,26.7444,1.48598,5.14881,1.0037,0,0,0,0,1.58426,5.34354,0.97483,7.48169e-05,7.48169e-05,7.48169e-05
30,27.6109,1.46832,5.11825,0.99092,0,0,0,0,1.55873,5.33453,0.96709,7.73632e-05,7.73632e-05,7.73632e-05
31,28.4472,1.46004,5.08849,0.97045,0,0,0,0,1.55873,5.33453,0.96709,7.99042e-05,7.99042e-05,7.99042e-05
32,29.3149,1.51552,5.09763,1.00275,0,0,0,0,1.56607,5.31739,0.96828,8.24398e-05,8.24398e-05,8.24398e-05
33,30.1808,1.38708,4.99402,1.03725,0,0,0,0,1.58762,5.29826,0.97013,8.49701e-05,8.49701e-05,8.49701e-05
34,30.9649,1.51696,5.02476,0.99316,0,0,0,0,1.58762,5.29826,0.97013,8.7495e-05,8.7495e-05,8.7495e-05
35,31.8328,1.25522,4.93668,0.93015,0,0,0,0,1.62402,5.2869,0.97133,9.00146e-05,9.00146e-05,9.00146e-05
36,32.6975,1.46007,4.93621,1.05432,0,0,0,0,1.64534,5.27775,0.97139,9.25288e-05,9.25288e-05,9.25288e-05
37,33.4828,1.42984,4.98982,1.00079,0,0,0,0,1.64534,5.27775,0.97139,9.50377e-05,9.50377e-05,9.50377e-05
38,34.3151,1.51757,4.92724,1.08377,0,0,0,0,1.62859,5.24679,0.967,9.75412e-05,9.75412e-05,9.75412e-05
39,35.1458,1.41619,4.91565,0.97688,0,0,0,0,1.61004,5.21116,0.96229,0.000100039,0.000100039,0.000100039
40,35.9638,1.49522,4.92709,1.01465,0,0,0,0,1.61004,5.21116,0.96229,0.000102532,0.000102532,0.000102532
41,36.7897,1.44034,4.82974,0.98519,0,0,0,0,1.59973,5.17573,0.95955,0.00010502,0.00010502,0.00010502
