epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.87178,1.5181,5.45592,1.12324,0,0,0,0,1.53687,5.44277,1.0834,1.35e-06,1.35e-06,1.35e-06
2,3.32464,1.63409,5.44998,1.3059,0,0,0,0,1.52038,5.44456,1.08431,4.04866e-06,4.04866e-06,4.04866e-06
3,4.74942,1.51546,5.45872,1.14802,0,0,0,0,1.50447,5.43953,1.07858,6.74554e-06,6.74554e-06,6.74554e-06
4,6.19615,1.42744,5.44258,1.14134,0,0,0,0,1.52088,5.43959,1.07952,9.44064e-06,9.44064e-06,9.44064e-06
5,7.70368,1.58867,5.404,1.24893,0,0,0,0,1.50982,5.43344,1.06807,1.2134e-05,1.2134e-05,1.2134e-05
6,9.18768,1.54271,5.47493,1.17067,0,0,0,0,1.50824,5.42497,1.06418,1.48255e-05,1.48255e-05,1.48255e-05
7,10.6736,1.62786,5.42735,1.1962,0,0,0,0,1.48277,5.39787,1.0369,1.75153e-05,1.75153e-05,1.75153e-05
8,12.1716,1.57397,5.41044,1.15714,0,0,0,0,1.48414,5.37125,1.0182,2.02032e-05,2.02032e-05,2.02032e-05
9,13.6339,1.5083,5.34831,1.15531,0,0,0,0,1.49683,5.35726,1.00901,2.28894e-05,2.28894e-05,2.28894e-05
10,15.0736,1.5503,5.31391,1.14422,0,0,0,0,1.50762,5.33139,1.003,2.55738e-05,2.55738e-05,2.55738e-05
11,16.5445,1.45991,5.34755,1.09808,0,0,0,0,1.48911,5.30223,0.98621,2.82564e-05,2.82564e-05,2.82564e-05
12,18.0436,1.35289,5.29653,1.06041,0,0,0,0,1.51712,5.28987,0.99182,3.09373e-05,3.09373e-05,3.09373e-05
13,19.5338,1.43622,5.26466,1.03749,0,0,0,0,1.53515,5.28094,0.98779,3.36164e-05,3.36164e-05,3.36164e-05
14,20.9887,1.44274,5.25079,1.05398,0,0,0,0,1.564,5.28062,0.9983,3.62936e-05,3.62936e-05,3.62936e-05
15,22.4567,1.43158,5.21094,1.0712,0,0,0,0,1.57061,5.26363,0.9959,3.89691e-05,3.89691e-05,3.89691e-05
16,23.9205,1.41481,5.20774,1.06727,0,0,0,0,1.55331,5.26131,0.99643,4.16428e-05,4.16428e-05,4.16428e-05
17,25.4087,1.46309,5.17806,1.12306,0,0,0,0,1.54577,5.25722,0.99344,4.43148e-05,4.43148e-05,4.43148e-05
18,26.9122,1.46943,5.12332,1.16759,0,0,0,0,1.5128,5.26067,0.98168,4.69849e-05,4.69849e-05,4.69849e-05
19,28.3574,1.30088,5.13591,0.97028,0,0,0,0,1.48914,5.26264,0.97379,4.96533e-05,4.96533e-05,4.96533e-05
20,29.8426,1.39125,5.10939,1.06267,0,0,0,0,1.4722,5.26007,0.96849,5.23199e-05,5.23199e-05,5.23199e-05
21,31.3216,1.27124,5.05839,1.00244,0,0,0,0,1.4584,5.25689,0.96606,5.49847e-05,5.49847e-05,5.49847e-05
22,32.8165,1.35976,5.06589,1.03681,0,0,0,0,1.42769,5.24894,0.961,5.76477e-05,5.76477e-05,5.76477e-05
23,34.2914,1.35686,5.02196,1.00359,0,0,0,0,1.41095,5.2412,0.95246,6.0309e-05,6.0309e-05,6.0309e-05
24,35.8044,1.46317,5.04656,1.11575,0,0,0,0,1.41498,5.23292,0.95106,6.29684e-05,6.29684e-05,6.29684e-05
25,37.2519,1.32888,4.9461,1.06473,0,0,0,0,1.41589,5.22232,0.94994,6.56261e-05,6.56261e-05,6.56261e-05
26,38.6899,1.29743,4.88229,1.07147,0,0,0,0,1.41657,5.20698,0.94752,6.8282e-05,6.8282e-05,6.8282e-05
27,40.1362,1.19579,4.90414,0.93394,0,0,0,0,1.40451,5.18618,0.94255,7.09361e-05,7.09361e-05,7.09361e-05
28,41.5688,1.34702,4.86658,1.04603,0,0,0,0,1.40451,5.18618,0.94255,7.35884e-05,7.35884e-05,7.35884e-05
29,43.0513,1.27638,4.92317,0.98797,0,0,0,0,1.39333,5.15932,0.93486,7.6239e-05,7.6239e-05,7.6239e-05
30,44.5244,1.28367,4.9085,0.98038,0,0,0,0,1.37989,5.1409,0.92993,7.88877e-05,7.88877e-05,7.88877e-05
31,45.9818,1.26752,4.86887,0.94436,0,0,0,0,1.37989,5.1409,0.92993,8.15347e-05,8.15347e-05,8.15347e-05
32,47.4655,1.34392,4.88841,0.96756,0,0,0,0,1.38273,5.12452,0.93136,8.41799e-05,8.41799e-05,8.41799e-05
33,48.9376,1.24027,4.76944,1.00626,0.01923,0.01923,0.01913,0.01722,1.39848,5.11419,0.93502,8.68234e-05,8.68234e-05,8.68234e-05
34,50.3795,1.31583,4.77912,0.98017,0.01923,0.01923,0.01913,0.01722,1.39848,5.11419,0.93502,8.9465e-05,8.9465e-05,8.9465e-05
35,51.8482,1.15107,4.66896,0.92749,0.01923,0.01923,0.01913,0.01722,1.41936,5.09808,0.93784,9.21049e-05,9.21049e-05,9.21049e-05
36,53.306,1.27865,4.67496,1.05677,0.00962,0.01923,0.01913,0.01722,1.42755,5.08434,0.93874,9.47429e-05,9.47429e-05,9.47429e-05
37,54.7667,1.24355,4.69125,0.98425,0.00962,0.01923,0.01913,0.01722,1.42755,5.08434,0.93874,9.73792e-05,9.73792e-05,9.73792e-05
38,56.2419,1.30912,4.65129,1.01863,0.00641,0.01923,0.01913,0.01722,1.42376,5.05969,0.9447,0.000100014,0.000100014,0.000100014
39,57.7207,1.2371,4.67779,0.9769,0.038,0.04808,0.05034,0.04746,1.4206,5.02717,0.93708,0.000102646,0.000102646,0.000102646
40,59.206,1.30426,4.61909,0.98607,0.038,0.04808,0.05034,0.04746,1.4206,5.02717,0.93708,0.000105277,0.000105277,0.000105277
41,60.6879,1.30421,4.53096,0.97331,0.04185,0.06731,0.05671,0.05208,1.42069,4.99798,0.93892,0.000107907,0.000107907,0.000107907
42,62.1718,1.28427,4.62255,0.97524,0.03677,0.09615,0.06148,0.05443,1.42888,4.961,0.94054,0.000110534,0.000110534,0.000110534
43,63.6382,1.15644,4.46858,0.9805,0.03677,0.09615,0.06148,0.05443,1.42888,4.961,0.94054,0.00011316,0.00011316,0.00011316
44,65.1057,1.23485,4.53252,0.99189,0.0525,0.11538,0.08465,0.06899,1.43958,4.92546,0.94871,0.000115783,0.000115783,0.000115783
45,66.5522,1.29008,4.44846,1.0231,0.0525,0.11538,0.08465,0.06899,1.43958,4.92546,0.94871,0.000118405,0.000118405,0.000118405
46,68.0775,1.34025,4.44126,1.00015,0.03218,0.11538,0.07453,0.05868,1.47653,4.88868,0.96265,0.000121026,0.000121026,0.000121026
47,69.5555,1.36346,4.48903,0.99642,0.03218,0.11538,0.07453,0.05868,1.47653,4.88868,0.96265,0.000123644,0.000123644,0.000123644
48,71.0438,1.21376,4.44649,0.96025,0.03173,0.12019,0.07661,0.05927,1.48925,4.83856,0.96879,0.000126261,0.000126261,0.000126261
49,72.5248,1.30508,4.32444,1.01742,0.03173,0.12019,0.07661,0.05927,1.48925,4.83856,0.96879,0.000128876,0.000128876,0.000128876
50,74.0067,1.25566,4.44081,0.95619,0.02607,0.12019,0.08618,0.06907,1.49797,4.77205,0.97103,0.000131489,0.000131489,0.000131489
51,75.4838,1.21122,4.26877,0.9802,0.02607,0.12019,0.08618,0.06907,1.49797,4.77205,0.97103,0.000132773,0.000132773,0.000132773
52,76.9854,1.27241,4.35533,0.98649,0.02718,0.13221,0.07946,0.06108,1.47697,4.67738,0.9679,0.000132728,0.000132728,0.000132728
53,78.4591,1.26513,4.2361,0.97662,0.02718,0.13221,0.07946,0.06108,1.47697,4.67738,0.9679,0.000132683,0.000132683,0.000132683
54,79.9531,1.28942,4.26248,0.9252,0.6589,0.09615,0.10927,0.08215,1.47427,4.5859,0.96741,0.000132639,0.000132639,0.000132639
55,81.44,1.35454,4.34424,0.99229,0.6589,0.09615,0.10927,0.08215,1.47427,4.5859,0.96741,0.000132594,0.000132594,0.000132594
56,82.9718,1.27854,4.20469,0.9048,0.04789,0.1758,0.1137,0.08397,1.4859,4.52422,0.96802,0.00013255,0.00013255,0.00013255
