epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08302,2.23365,5.53728,1.53357,0,0,0,0,1.66317,5.41031,1.03428,1.39e-06,1.39e-06,1.39e-06
2,4.08791,2.07786,5.47438,1.563,0,0,0,0,1.65523,5.40405,1.02862,4.14936e-06,4.14936e-06,4.14936e-06
3,4.98845,2.03932,5.42555,1.43326,0,0,0,0,1.65086,5.40234,1.02826,6.88119e-06,6.88119e-06,6.88119e-06
4,5.8123,1.84507,5.29796,1.54151,0,0,0,0,1.65837,5.39386,1.02801,9.58551e-06,9.58551e-06,9.58551e-06
5,6.65761,2.24817,5.36077,1.6793,0,0,0,0,1.66211,5.39169,1.02288,1.22623e-05,1.22623e-05,1.22623e-05
6,7.5026,2.2685,5.33468,1.74421,0,0,0,0,1.6757,5.38621,1.01571,1.49116e-05,1.49116e-05,1.49116e-05
7,8.33835,1.96036,5.32613,1.48913,0,0,0,0,1.69763,5.38989,1.0121,1.75333e-05,1.75333e-05,1.75333e-05
8,9.19416,1.8941,5.43337,1.50419,0,0,0,0,1.69172,5.38064,1.00309,2.01275e-05,2.01275e-05,2.01275e-05
9,9.97292,1.8274,5.29221,1.50285,0,0,0,0,1.68915,5.38763,1.00113,2.26943e-05,2.26943e-05,2.26943e-05
10,10.8097,2.00563,5.20945,1.71336,0,0,0,0,1.66645,5.3897,0.99361,2.52334e-05,2.52334e-05,2.52334e-05
11,11.6747,1.8697,5.24733,1.55397,0,0,0,0,1.65463,5.39443,0.97829,2.77451e-05,2.77451e-05,2.77451e-05
12,12.5084,1.89286,5.46424,1.39419,0,0,0,0,1.64229,5.38725,0.9643,3.02292e-05,3.02292e-05,3.02292e-05
13,13.403,1.94338,5.30649,1.48948,0,0,0,0,1.66321,5.39361,0.9654,3.26858e-05,3.26858e-05,3.26858e-05
14,14.2693,1.89886,5.19331,1.52552,0,0,0,0,1.6706,5.39269,0.97447,3.51149e-05,3.51149e-05,3.51149e-05
15,15.1411,1.97101,5.26797,1.59492,0,0,0,0,1.6689,5.39593,0.97126,3.75165e-05,3.75165e-05,3.75165e-05
16,15.9769,1.6922,5.27759,1.41697,0,0,0,0,1.69534,5.38948,0.97873,3.98906e-05,3.98906e-05,3.98906e-05
17,16.8431,1.76781,5.22941,1.44541,0,0,0,0,1.70561,5.39588,0.98968,4.22371e-05,4.22371e-05,4.22371e-05
18,17.6946,1.91035,5.24303,1.49894,0,0,0,0,1.70934,5.40351,0.99546,4.45561e-05,4.45561e-05,4.45561e-05
19,18.6016,1.80854,5.32664,1.39256,0,0,0,0,1.69745,5.4027,0.99962,4.68476e-05,4.68476e-05,4.68476e-05
20,19.5586,1.64109,5.28892,1.31469,0,0,0,0,1.68927,5.40412,1.00781,4.91115e-05,4.91115e-05,4.91115e-05
21,20.4719,1.71458,5.31208,1.4012,0,0,0,0,1.67539,5.40491,1.01065,5.1348e-05,5.1348e-05,5.1348e-05
22,21.3703,1.68969,5.20671,1.36388,0,0,0,0,1.65461,5.40701,1.0135,5.35569e-05,5.35569e-05,5.35569e-05
23,22.2552,1.75886,5.25982,1.31918,0,0,0,0,1.64965,5.40358,1.01735,5.57383e-05,5.57383e-05,5.57383e-05
24,23.1104,1.67947,5.19036,1.34854,0,0,0,0,1.62521,5.40636,1.01382,5.78922e-05,5.78922e-05,5.78922e-05
25,24.025,1.69471,5.08081,1.45497,0,0,0,0,1.61559,5.41792,1.01192,6.00185e-05,6.00185e-05,6.00185e-05
26,24.8755,1.67453,5.20364,1.34194,0,0,0,0,1.61113,5.42228,1.00603,6.21174e-05,6.21174e-05,6.21174e-05
27,25.7915,1.69075,5.10424,1.44897,0,0,0,0,1.59277,5.42048,1.00335,6.41887e-05,6.41887e-05,6.41887e-05
28,26.6047,1.54777,5.12484,1.3565,0,0,0,0,1.59277,5.42048,1.00335,6.62325e-05,6.62325e-05,6.62325e-05
29,27.5089,1.68746,5.13764,1.39674,0,0,0,0,1.59896,5.41958,1.00513,6.82487e-05,6.82487e-05,6.82487e-05
30,28.4752,1.57129,5.04493,1.39678,0,0,0,0,1.58477,5.39427,1.00388,7.02375e-05,7.02375e-05,7.02375e-05
31,29.3714,1.56596,5.19235,1.30497,0,0,0,0,1.58477,5.39427,1.00388,7.21987e-05,7.21987e-05,7.21987e-05
32,30.3262,1.61653,4.99087,1.39239,0,0,0,0,1.5492,5.38945,0.98716,7.41324e-05,7.41324e-05,7.41324e-05
33,31.2198,1.63732,5.09955,1.33492,0,0,0,0,1.53434,5.37748,0.98221,7.60386e-05,7.60386e-05,7.60386e-05
34,32.0927,1.45311,5.0252,1.29288,0,0,0,0,1.53434,5.37748,0.98221,7.79172e-05,7.79172e-05,7.79172e-05
35,32.9278,1.58095,5.13336,1.272,0,0,0,0,1.52002,5.35706,0.97766,7.97683e-05,7.97683e-05,7.97683e-05
